lat,lon,pixel_count,mean_tb,min_tb,median_tb,std_tb,max_radius,min_radius,mean_radius,max_cloud_top_height,mean_cloud_top_height,target
690,1023,2,228.72202,228.33298,228.72202,0.3890381,1.0,0.0,0.5,2.1667022705078125,2.1277984619140624,0
691,980,2,228.52542,227.93977,228.52542,0.58563995,1.0,0.0,0.5,2.2060226440429687,2.1474578857421878,0
696,1022,12,223.54018,218.46219,222.97626,3.613656,3.1622776601683795,0.0,1.6415757264511617,3.1537811279296877,2.645982360839844,1
696,1588,50,216.75089,201.61989,217.02328,8.115365,7.280109889280518,0.0,3.530347798545498,4.838011169433594,3.324911499023438,1
693,1597,2,229.10565,228.33298,229.10565,0.77267456,1.0,0.0,0.5,2.1667022705078125,2.089434814453125,0
696,1593,5,223.93204,215.0372,225.51892,5.1726336,1.4142135623730951,0.0,0.882842712474619,3.4962799072265627,2.6067962646484375,1
701,1597,68,208.9328,188.9219,206.75081,10.432233,8.06225774829855,0.0,4.089870495304885,6.107809448242188,4.106719970703125,1
706,1374,1,226.33797,226.33797,226.33797,0.0,0.0,0.0,0.0,2.3662033081054688,2.3662033081054688,0
710,1382,19,225.41177,220.7726,225.51892,2.6108491,5.0990195135927845,0.0,2.3116333608749677,2.922740173339844,2.458822631835938,1
712,1617,6,226.00519,222.98343,225.70557,2.5644193,3.0,0.0,1.3333333333333333,2.7016571044921878,2.399481201171875,1
712,1613,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
714,1613,3,228.32458,227.14478,228.33298,0.9599089,1.0,0.0,0.6666666666666666,2.2855224609375,2.16754150390625,0
736,1594,7287,220.71631,198.06773,221.66829,6.3446293,137.6117727521886,0.0,70.49423189583622,5.193226623535157,2.928369140625,1
738,1089,176,213.96152,182.78459,217.26541,12.82597,15.297058540778355,0.0,7.181056098434712,6.721540832519532,3.6038482666015628,1
746,1382,49,227.39224,223.41455,227.54373,1.8002505,11.313708498984761,0.0,4.411742459313514,2.6585449218750004,2.2607757568359377,1
741,1367,2,228.12791,227.14478,228.12791,0.98313904,1.0,0.0,0.5,2.2855224609375,2.187208557128906,0
741,1397,1,229.11105,229.11105,229.11105,0.0,0.0,0.0,0.0,2.0888946533203128,2.0888946533203128,0
741,1410,27,226.2193,219.39902,227.14478,2.8277595,7.810249675906654,0.0,3.7127925543768723,3.0600982666015626,2.378070068359375,1
743,1423,1,229.49602,229.49602,229.49602,0.0,0.0,0.0,0.0,2.050398254394531,2.050398254394531,0
746,1173,4,228.02527,226.33797,228.13356,1.1968019,1.4142135623730951,0.0,0.8535533905932737,2.3662033081054688,2.19747314453125,0
745,1423,3,228.06706,227.14478,228.33298,0.67133904,1.0,0.0,0.6666666666666666,2.2855224609375,2.1932937622070314,0
747,1579,1,229.87833,229.87833,229.87833,0.0,0.0,0.0,0.0,2.0121673583984374,2.0121673583984374,0
748,1394,2,225.72131,225.10466,225.72131,0.61665344,1.0,0.0,0.5,2.4895339965820313,2.4278686523437503,0
767,951,2,227.93835,227.54373,227.93835,0.3946228,1.0,0.0,0.5,2.2456268310546874,2.20616455078125,0
769,1617,6,228.3806,225.93001,228.91722,1.3946965,2.0,0.0,1.0690355937288492,2.406999206542969,2.161940002441406,1
770,1516,3,228.585,227.54373,228.33298,0.9696131,2.0,0.0,1.0,2.2456268310546874,2.1414993286132815,0
773,1054,9,227.5909,224.26634,228.72339,2.1220732,2.23606797749979,0.0,1.2293883446939977,2.5733657836914063,2.240910339355469,1
779,1589,57,227.6327,222.54872,227.93977,1.7955469,10.295630140987,0.0,5.075639588492807,2.745127868652344,2.236729431152344,1
785,1514,181,226.54562,219.86101,227.54373,2.6734812,16.278820596099706,0.0,6.079055000051116,3.0138992309570316,2.3454376220703126,1
774,1528,8,228.51591,226.33797,228.91722,1.1795138,3.0,0.0,1.4562851924841107,2.3662033081054688,2.1484085083007813,1
773,1543,2,229.87833,229.87833,229.87833,0.0,1.0,0.0,0.5,2.0121673583984374,2.0121673583984374,0
